AEMET,Población,Playa,GPS
,ALGECIRAS,Playa Cala Arena,"[36.060805972205536,-5.448334191343138]"
1100402,ALGECIRAS,Playa de Getares,"[36.09538572543821,-5.443285110555486]"
,ALGECIRAS,Playa de El Chinarral,"[36.11189094479924,-5.437462533311653]"
,ALGECIRAS,Playa de La Concha,"[36.15068609899108,-5.445065077969065]"
1100401,ALGECIRAS,Playa de El Rinconcillo,"[36.15982607139167,-5.442331323631599]"
1100706,BARBATE,Playa de Zahara de los Atunes,"[36.13514783615107,-5.848254744296449]"
,BARBATE,Playa de Pajares,"[36.15944488819071,-5.87601463097997]"
,BARBATE,Playa Cañillo,"[36.17639042435621,-5.899890956561927]"
1100702,BARBATE,Playa de Los Caños de Meca,"[36.185138042609964,-6.009614755391928]"
,BARBATE,Playa de la Hierbabuena,"[36.1856066818769,-5.940365158570225]"
1100703,BARBATE,Playa Nuestra Señora del Carmen,"[36.18571808956968,-5.917091513834822]"
,BARBATE,Playa de Zahora,"[36.1933946307808,-6.0410191512434315]"
1100801,LOS BARRIOS ,Playa de Palmones,"[36.174282144021355,-5.428720872424512]"
,CADIZ,Playa de Cortadura,"[36.479795893337496,-6.262953201498663]"
1101203,CADIZ,Playa de la Victoria,"[36.50484690132451,-6.278450853418596]"
,CADIZ,Playa de Santa María del Mar,"[36.52037611361864,-6.286718825354661]"
1101201,CADIZ,Playa de La Caleta,"[36.530455880365494,-6.305804764523832]"
1101503,CHICLANA,Playa de la Barrosa,"[36.36041922374266,-6.175926398171535]"
,CHICLANA,Playa de Sancti Petri,"[36.388000844629396,-6.207681774343135]"
,CHIPIONA,Playa de Las Tres Piedras,"[36.704353520138774,-6.430099671688962]"
,CHIPIONA,Playa de Camarón,"[36.72055519752495,-6.439767835019141]"
1101604,CHIPIONA,Playa de Regla,"[36.7333039682453,-6.440488724301298]"
,CHIPIONA,Playa de Las Canteras,"[36.739902891812235,-6.43992074492336]"
1101602,CHIPIONA,Playa Cruz del Mar,"[36.74150456806173,-6.436441571955424]"
,CHIPIONA,Playa de Costa de la Grajuela,"[36.743896867073346,-6.424548751148502]"
,CHIPIONA,Playa de Montijo,"[36.76095173014094,-6.404400654909052]"
,CONIL,Playa de Castilnovo,"[36.25857761013488,-6.084700084495936]"
,CONIL,Playa de Los Bateles,"[36.27286913827907,-6.092779672504749]"
,CONIL,Playa del Chorrillo,"[36.27839245823778,-6.096932437131158]"
1101406,CONIL,Playa de La Fontanilla,"[36.28060421230211,-6.099069650967645]"
,CONIL,Playa del Roqueo,"[36.28471094753175,-6.102984154174032]"
,CONIL,Playa Fuente del Gallo,"[36.28954013375301,-6.1081723899831175]"
,CONIL,Playa Cala Puntalejo,"[36.29442358413154,-6.1152488273437795]"
,CONIL,Playa Cala del Aceite,"[36.296878315547225,-6.132443622315315]"
1101401,CONIL,Playa Calas de Roche,"[36.3054934863002,-6.149685949138344]"
,CONIL,Playa del Puerco,"[36.32172868427602,-6.15733026812778]"
,LA LINEA,Playa de Santa Bárbara,"[36.15752576848045,-5.338444498481779]"
1102207,LA LINEA,Playa de Poniente,"[36.1624361004107,-5.358197674144847]"
1102205,LA LINEA,Playa de Levante,"[36.172550296964424,-5.336515417586436]"
,LA LINEA,Playa de Sobrevela,"[36.19156858312056,-5.331229813404008]"
,LA LINEA,Playa de Torrenueva,"[36.20805878494911,-5.325185555785987]"
,LA LINEA,Playa de Santa Clara,"[36.22120455821545,-5.320564062822597]"
,LA LINEA,Playa de La Alcaidesa,"[36.23247675333853,-5.314755684497041]"
,EL PUERTO,Playa de Levante,"[36.551351704692514,-6.224998514498078]"
